id,review,sentiment,clean_review,token
19,"Well, I think the laptop is awsome and works perfectly 👍 <b>Good choice</b> https://example.com 😡!!!",positive,well i think the lawton is some and works perfectly  good choice  ,"['well', 'think', 'lawton', 'works', 'perfectly', 'good', 'choice']"
20,In my opinion this is headphones is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com??,positive,in my opinion this is headphones is amazing really amazing  more into ,"['opinion', 'headphones', 'amazing', 'really', 'amazing']"
21,"To be honest, the service has terrible quality <div>very disappointing</div> <div>Customer review</div>!!! 😍",negative,to be honest the service has terrible quality very disappointing customer review ,"['honest', 'service', 'terrible', 'quality', 'disappointing', 'customer', 'review']"
22,"Actually, this product is product is awsome and works perfectly 👍 <span>Recommended</span>.",positive,actually this product is product is some and works perfectly  recommended,"['actually', 'product', 'product', 'works', 'perfectly', 'recommended']"
23,"Well, I think the shirt is broken and useless!!! <b>Good choice</b> Visit www.example.com 😡!!!",negative,well i think the shirt is broken and useless good choice visit  ,"['well', 'think', 'shirt', 'broken', 'useless', 'good', 'choice', 'visit']"
24,"To be honest, the book is absolutly fantastic!!! <div>Customer review</div> More info: https://shop.example.com 😡!!!",positive,to be honest the book is absolutely fantastic customer review more into  ,"['honest', 'book', 'absolutely', 'fantastic', 'customer', 'review']"
25,In my opinion this is watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> https://example.com...,positive,in my opinion this is watch is amazing really amazing  recommended ,"['opinion', 'watch', 'amazing', 'really', 'amazing', 'recommended']"
26,"In my opinion this is shoes is average, nothing special. <span>Recommended</span>!!!",neutral,in my opinion this is shoes is average nothing special recommended,"['opinion', 'shoes', 'average', 'nothing', 'special', 'recommended']"
27,In my opinion this is book is okay and works fine. <div>Customer review</div> https://example.com??,neutral,in my opinion this is book is okay and works fine customer review ,"['opinion', 'book', 'okay', 'works', 'fine', 'customer', 'review']"
28,I think it is really watch is awsome and works perfectly 👍 <span>Recommended</span> https://example.com...,positive,i think it is really watch is some and works perfectly  recommended ,"['think', 'really', 'watch', 'works', 'perfectly', 'recommended']"
29,"To be honest, the phone is awfull and stopped working 😭.",negative,to be honest the phone is awful and stopped working ,"['honest', 'phone', 'awful', 'stopped', 'working']"
30,"Well, I think the watch is realy good!!! 😍 More info: https://shop.example.com!!! 😍",positive,well i think the watch is really good  more into  ,"['well', 'think', 'watch', 'really', 'good']"
31,"In my opinion this is watch is not bad, but not amazing either. <b>Good choice</b>...",neutral,in my opinion this is watch is not bad but not amazing either good choice,"['opinion', 'watch', 'bad', 'amazing', 'either', 'good', 'choice']"
32,I think it is really shoes is realy bad!!! 😡 More info: https://shop.example.com.,negative,i think it is really shoes is really bad  more into ,"['think', 'really', 'shoes', 'really', 'bad']"
33,"Well, I think the laptop works as expected, but could be better. More info: https://shop.example.com??",neutral,well i think the lawton works as expected but could be better more into ,"['well', 'think', 'lawton', 'works', 'expected', 'could', 'better']"
34,"Actually, this product is product is average, nothing special. 😡!!!",neutral,actually this product is product is average nothing special ,"['actually', 'product', 'product', 'average', 'nothing', 'special']"
35,"To be honest, the shirt is awsome and works perfectly 👍 <span>Recommended</span> https://example.com...",positive,to be honest the shirt is some and works perfectly  recommended ,"['honest', 'shirt', 'works', 'perfectly', 'recommended']"
36,"To be honest, the watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> https://example.com!!! 😍",positive,to be honest the watch is amazing really amazing  recommended  ,"['honest', 'watch', 'amazing', 'really', 'amazing', 'recommended']"
37,"Well, I think the service works gr8 and I luv it 😊 More info: https://shop.example.com??",positive,well i think the service works grm and i lui it  more into ,"['well', 'think', 'service', 'works', 'grm', 'lui']"
38,"Actually, this product is watch has terrible quality <div>very disappointing</div> <span>Recommended</span> Visit www.example.com.",negative,actually this product is watch has terrible quality very disappointing recommended visit ,"['actually', 'product', 'watch', 'terrible', 'quality', 'disappointing', 'recommended', 'visit']"
39,"Well, I think the shoes was a horible purchase 😠 <b>Good choice</b> Visit www.example.com!!!",negative,well i think the shoes was a horrible purchase  good choice visit ,"['well', 'think', 'shoes', 'horrible', 'purchase', 'good', 'choice', 'visit']"
40,In my opinion this is camera works gr8 and I luv it 😊 <b>Good choice</b> 😡!!!,positive,in my opinion this is camera works grm and i lui it  good choice ,"['opinion', 'camera', 'works', 'grm', 'lui', 'good', 'choice']"
41,In my opinion this is watch is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> 😡!!!,positive,in my opinion this is watch is amazing really amazing  good choice ,"['opinion', 'watch', 'amazing', 'really', 'amazing', 'good', 'choice']"
42,"Well, I think the watch is not bad, but not amazing either. <b>Good choice</b> More info: https://shop.example.com.",neutral,well i think the watch is not bad but not amazing either good choice more into ,"['well', 'think', 'watch', 'bad', 'amazing', 'either', 'good', 'choice']"
43,"Well, I think the headphones is realy good!!! 😍 <div>Customer review</div>...",positive,well i think the headphones is really good  customer review,"['well', 'think', 'headphones', 'really', 'good', 'customer', 'review']"
44,I think it is really camera was a horible purchase 😠 <div>Customer review</div> Visit www.example.com!!!,negative,i think it is really camera was a horrible purchase  customer review visit ,"['think', 'really', 'camera', 'horrible', 'purchase', 'customer', 'review', 'visit']"
45,"To be honest, the laptop is awsome and works perfectly 👍 <span>Recommended</span>!!! 😍",positive,to be honest the lawton is some and works perfectly  recommended ,"['honest', 'lawton', 'works', 'perfectly', 'recommended']"
46,I think it is really service is absolutly fantastic!!! More info: https://shop.example.com??,positive,i think it is really service is absolutely fantastic more into ,"['think', 'really', 'service', 'absolutely', 'fantastic']"
47,"Actually, this product is shirt is realy bad!!! 😡 https://example.com!!!",negative,actually this product is shirt is really bad  ,"['actually', 'product', 'shirt', 'really', 'bad']"
48,"To be honest, the shoes is broken and useless!!! <div>Customer review</div>??",negative,to be honest the shoes is broken and useless customer review,"['honest', 'shoes', 'broken', 'useless', 'customer', 'review']"
49,In my opinion this is product is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com!!!,positive,in my opinion this is product is some and works perfectly  customer review visit ,"['opinion', 'product', 'works', 'perfectly', 'customer', 'review', 'visit']"
50,I think it is really shirt is realy bad!!! 😡 <span>Recommended</span> https://example.com!!!,negative,i think it is really shirt is really bad  recommended ,"['think', 'really', 'shirt', 'really', 'bad', 'recommended']"
51,"Actually, this product is headphones is average, nothing special. <div>Customer review</div> More info: https://shop.example.com!!!",neutral,actually this product is headphones is average nothing special customer review more into ,"['actually', 'product', 'headphones', 'average', 'nothing', 'special', 'customer', 'review']"
52,In my opinion this is book is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> More info: https://shop.example.com??,positive,in my opinion this is book is amazing really amazing  good choice more into ,"['opinion', 'book', 'amazing', 'really', 'amazing', 'good', 'choice']"
53,In my opinion this is book is broken and useless!!! 😡!!!,negative,in my opinion this is book is broken and useless ,"['opinion', 'book', 'broken', 'useless']"
54,"Actually, this product is product is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!! 😍",positive,actually this product is product is really good  recommended visit  ,"['actually', 'product', 'product', 'really', 'good', 'recommended', 'visit']"
55,In my opinion this is service is realy bad!!! 😡 More info: https://shop.example.com 😡!!!,negative,in my opinion this is service is really bad  more into  ,"['opinion', 'service', 'really', 'bad']"
56,"To be honest, the shoes is broken and useless!!! <span>Recommended</span> More info: https://shop.example.com??",negative,to be honest the shoes is broken and useless recommended more into ,"['honest', 'shoes', 'broken', 'useless', 'recommended']"
57,I think it is really book is realy good!!! 😍 <b>Good choice</b> More info: https://shop.example.com.,positive,i think it is really book is really good  good choice more into ,"['think', 'really', 'book', 'really', 'good', 'good', 'choice']"
58,"Actually, this product is phone is awsome and works perfectly 👍 Visit www.example.com!!! 😍",positive,actually this product is phone is some and works perfectly  visit  ,"['actually', 'product', 'phone', 'works', 'perfectly', 'visit']"
59,In my opinion this is service is realy good!!! 😍 <span>Recommended</span> https://example.com!!!,positive,in my opinion this is service is really good  recommended ,"['opinion', 'service', 'really', 'good', 'recommended']"
60,"Actually, this product is laptop works gr8 and I luv it 😊 https://example.com!!!",positive,actually this product is lawton works grm and i lui it  ,"['actually', 'product', 'lawton', 'works', 'grm', 'lui']"
61,I think it is really phone works gr8 and I luv it 😊 <b>Good choice</b> More info: https://shop.example.com!!! 😍,positive,i think it is really phone works grm and i lui it  good choice more into  ,"['think', 'really', 'phone', 'works', 'grm', 'lui', 'good', 'choice']"
62,"In my opinion this is laptop is average, nothing special. More info: https://shop.example.com.",neutral,in my opinion this is lawton is average nothing special more into ,"['opinion', 'lawton', 'average', 'nothing', 'special']"
63,"Well, I think the shoes is realy good!!! 😍 More info: https://shop.example.com??",positive,well i think the shoes is really good  more into ,"['well', 'think', 'shoes', 'really', 'good']"
64,"To be honest, the service is okay and works fine. <b>Good choice</b> Visit www.example.com...",neutral,to be honest the service is okay and works fine good choice visit ,"['honest', 'service', 'okay', 'works', 'fine', 'good', 'choice', 'visit']"
65,I think it is really watch is absolutly fantastic!!! <span>Recommended</span> 😡!!!,positive,i think it is really watch is absolutely fantastic recommended ,"['think', 'really', 'watch', 'absolutely', 'fantastic', 'recommended']"
66,"Actually, this product is product is awsome and works perfectly 👍 <span>Recommended</span> More info: https://shop.example.com...",positive,actually this product is product is some and works perfectly  recommended more into ,"['actually', 'product', 'product', 'works', 'perfectly', 'recommended']"
67,"Well, I think the book is realy bad!!! 😡 <b>Good choice</b> More info: https://shop.example.com!!!",negative,well i think the book is really bad  good choice more into ,"['well', 'think', 'book', 'really', 'bad', 'good', 'choice']"
68,"To be honest, the shoes is awsome and works perfectly 👍 https://example.com.",positive,to be honest the shoes is some and works perfectly  ,"['honest', 'shoes', 'works', 'perfectly']"
69,In my opinion this is shirt was a horible purchase 😠 <b>Good choice</b> Visit www.example.com??,negative,in my opinion this is shirt was a horrible purchase  good choice visit ,"['opinion', 'shirt', 'horrible', 'purchase', 'good', 'choice', 'visit']"
70,"Actually, this product is headphones is broken and useless!!! <div>Customer review</div>!!!",negative,actually this product is headphones is broken and useless customer review,"['actually', 'product', 'headphones', 'broken', 'useless', 'customer', 'review']"
71,In my opinion this is laptop is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!!,positive,in my opinion this is lawton is really good  recommended visit ,"['opinion', 'lawton', 'really', 'good', 'recommended', 'visit']"
72,I think it is really headphones is absolutly fantastic!!! <b>Good choice</b> https://example.com...,positive,i think it is really headphones is absolutely fantastic good choice ,"['think', 'really', 'headphones', 'absolutely', 'fantastic', 'good', 'choice']"
73,"Well, I think the phone is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span>!!!",positive,well i think the phone is amazing really amazing  recommended,"['well', 'think', 'phone', 'amazing', 'really', 'amazing', 'recommended']"
74,"To be honest, the service was a horible purchase 😠 <b>Good choice</b> More info: https://shop.example.com...",negative,to be honest the service was a horrible purchase  good choice more into ,"['honest', 'service', 'horrible', 'purchase', 'good', 'choice']"
75,"Actually, this product is laptop works as expected, but could be better. <b>Good choice</b> https://example.com!!!",neutral,actually this product is lawton works as expected but could be better good choice ,"['actually', 'product', 'lawton', 'works', 'expected', 'could', 'better', 'good', 'choice']"
76,"Actually, this product is shoes is broken and useless!!! <div>Customer review</div> Visit www.example.com!!! 😍",negative,actually this product is shoes is broken and useless customer review visit  ,"['actually', 'product', 'shoes', 'broken', 'useless', 'customer', 'review', 'visit']"
77,In my opinion this is product is awsome and works perfectly 👍 Visit www.example.com!!!,positive,in my opinion this is product is some and works perfectly  visit ,"['opinion', 'product', 'works', 'perfectly', 'visit']"
78,"Actually, this product is phone is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com!!!",positive,actually this product is phone is amazing really amazing  more into ,"['actually', 'product', 'phone', 'amazing', 'really', 'amazing']"
79,"To be honest, the shirt is okay and works fine. <span>Recommended</span> https://example.com.",neutral,to be honest the shirt is okay and works fine recommended ,"['honest', 'shirt', 'okay', 'works', 'fine', 'recommended']"
80,"Well, I think the headphones is awfull and stopped working 😭 <span>Recommended</span> https://example.com.",negative,well i think the headphones is awful and stopped working  recommended ,"['well', 'think', 'headphones', 'awful', 'stopped', 'working', 'recommended']"
81,In my opinion this is shirt is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div>!!!,positive,in my opinion this is shirt is amazing really amazing  customer review,"['opinion', 'shirt', 'amazing', 'really', 'amazing', 'customer', 'review']"
82,In my opinion this is product is awfull and stopped working 😭 <div>Customer review</div> https://example.com!!! 😍,negative,in my opinion this is product is awful and stopped working  customer review  ,"['opinion', 'product', 'awful', 'stopped', 'working', 'customer', 'review']"
83,"Actually, this product is watch is awfull and stopped working 😭 More info: https://shop.example.com!!!",negative,actually this product is watch is awful and stopped working  more into ,"['actually', 'product', 'watch', 'awful', 'stopped', 'working']"
84,"I think it is really camera is average, nothing special. <b>Good choice</b> More info: https://shop.example.com.",neutral,i think it is really camera is average nothing special good choice more into ,"['think', 'really', 'camera', 'average', 'nothing', 'special', 'good', 'choice']"
85,In my opinion this is book is realy good!!! 😍 <b>Good choice</b> https://example.com!!! 😍,positive,in my opinion this is book is really good  good choice  ,"['opinion', 'book', 'really', 'good', 'good', 'choice']"
86,"To be honest, the shirt is decent for the price. <span>Recommended</span> Visit www.example.com.",neutral,to be honest the shirt is decent for the price recommended visit ,"['honest', 'shirt', 'decent', 'price', 'recommended', 'visit']"
87,I think it is really service is broken and useless!!! <b>Good choice</b> Visit www.example.com??,negative,i think it is really service is broken and useless good choice visit ,"['think', 'really', 'service', 'broken', 'useless', 'good', 'choice', 'visit']"
88,"To be honest, the headphones is awfull and stopped working 😭 <span>Recommended</span>.",negative,to be honest the headphones is awful and stopped working  recommended,"['honest', 'headphones', 'awful', 'stopped', 'working', 'recommended']"
89,In my opinion this is book works gr8 and I luv it 😊 <b>Good choice</b> https://example.com 😡!!!,positive,in my opinion this is book works grm and i lui it  good choice  ,"['opinion', 'book', 'works', 'grm', 'lui', 'good', 'choice']"
90,"To be honest, the watch is awfull and stopped working 😭 <b>Good choice</b>.",negative,to be honest the watch is awful and stopped working  good choice,"['honest', 'watch', 'awful', 'stopped', 'working', 'good', 'choice']"
91,"Actually, this product is product is absolutly fantastic!!! <span>Recommended</span> More info: https://shop.example.com!!! 😍",positive,actually this product is product is absolutely fantastic recommended more into  ,"['actually', 'product', 'product', 'absolutely', 'fantastic', 'recommended']"
92,"To be honest, the watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com??",positive,to be honest the watch is amazing really amazing  recommended visit ,"['honest', 'watch', 'amazing', 'really', 'amazing', 'recommended', 'visit']"
93,"To be honest, the service is realy good!!! 😍 More info: https://shop.example.com!!! 😍",positive,to be honest the service is really good  more into  ,"['honest', 'service', 'really', 'good']"
94,"To be honest, the service is realy bad!!! 😡 <div>Customer review</div>??",negative,to be honest the service is really bad  customer review,"['honest', 'service', 'really', 'bad', 'customer', 'review']"
95,"Actually, this product is book is realy bad!!! 😡 <div>Customer review</div>...",negative,actually this product is book is really bad  customer review,"['actually', 'product', 'book', 'really', 'bad', 'customer', 'review']"
96,"Actually, this product is headphones is absolutly fantastic!!! <span>Recommended</span>??",positive,actually this product is headphones is absolutely fantastic recommended,"['actually', 'product', 'headphones', 'absolutely', 'fantastic', 'recommended']"
97,"To be honest, the phone is realy good!!! 😍 <span>Recommended</span> https://example.com??",positive,to be honest the phone is really good  recommended ,"['honest', 'phone', 'really', 'good', 'recommended']"
98,"Actually, this product is phone is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com!!! 😍",positive,actually this product is phone is some and works perfectly  customer review visit  ,"['actually', 'product', 'phone', 'works', 'perfectly', 'customer', 'review', 'visit']"
99,"Actually, this product is phone is realy bad!!! 😡 <span>Recommended</span> More info: https://shop.example.com.",negative,actually this product is phone is really bad  recommended more into ,"['actually', 'product', 'phone', 'really', 'bad', 'recommended']"
100,In my opinion this is service is broken and useless!!!!!! 😍,negative,in my opinion this is service is broken and useless ,"['opinion', 'service', 'broken', 'useless']"
101,"Actually, this product is service works gr8 and I luv it 😊 <span>Recommended</span>!!! 😍",positive,actually this product is service works grm and i lui it  recommended ,"['actually', 'product', 'service', 'works', 'grm', 'lui', 'recommended']"
102,"Well, I think the shoes is realy good!!! 😍 <span>Recommended</span> Visit www.example.com.",positive,well i think the shoes is really good  recommended visit ,"['well', 'think', 'shoes', 'really', 'good', 'recommended', 'visit']"
103,"Actually, this product is watch was a horible purchase 😠 <span>Recommended</span> Visit www.example.com!!!",negative,actually this product is watch was a horrible purchase  recommended visit ,"['actually', 'product', 'watch', 'horrible', 'purchase', 'recommended', 'visit']"
104,In my opinion this is camera works gr8 and I luv it 😊 https://example.com...,positive,in my opinion this is camera works grm and i lui it  ,"['opinion', 'camera', 'works', 'grm', 'lui']"
105,"Well, I think the shoes is average, nothing special. <span>Recommended</span> https://example.com...",neutral,well i think the shoes is average nothing special recommended ,"['well', 'think', 'shoes', 'average', 'nothing', 'special', 'recommended']"
106,I think it is really book is realy good!!! 😍 <div>Customer review</div> https://example.com 😡!!!,positive,i think it is really book is really good  customer review  ,"['think', 'really', 'book', 'really', 'good', 'customer', 'review']"
107,"Actually, this product is camera is broken and useless!!! <b>Good choice</b> Visit www.example.com??",negative,actually this product is camera is broken and useless good choice visit ,"['actually', 'product', 'camera', 'broken', 'useless', 'good', 'choice', 'visit']"
108,"Actually, this product is camera is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b>!!!",positive,actually this product is camera is amazing really amazing  good choice,"['actually', 'product', 'camera', 'amazing', 'really', 'amazing', 'good', 'choice']"
109,I think it is really laptop works gr8 and I luv it 😊 <span>Recommended</span> https://example.com.,positive,i think it is really lawton works grm and i lui it  recommended ,"['think', 'really', 'lawton', 'works', 'grm', 'lui', 'recommended']"
110,In my opinion this is service is awsome and works perfectly 👍 <b>Good choice</b>.,positive,in my opinion this is service is some and works perfectly  good choice,"['opinion', 'service', 'works', 'perfectly', 'good', 'choice']"
111,"Actually, this product is camera is broken and useless!!! <b>Good choice</b>!!!",negative,actually this product is camera is broken and useless good choice,"['actually', 'product', 'camera', 'broken', 'useless', 'good', 'choice']"
112,"To be honest, the shirt is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com...",positive,to be honest the shirt is amazing really amazing  more into ,"['honest', 'shirt', 'amazing', 'really', 'amazing']"
113,"To be honest, the phone is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> https://example.com!!! 😍",positive,to be honest the phone is amazing really amazing  good choice  ,"['honest', 'phone', 'amazing', 'really', 'amazing', 'good', 'choice']"
114,I think it is really laptop is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> More info: https://shop.example.com.,positive,i think it is really lawton is amazing really amazing  recommended more into ,"['think', 'really', 'lawton', 'amazing', 'really', 'amazing', 'recommended']"
115,"To be honest, the camera is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com 😡!!!",positive,to be honest the camera is amazing really amazing  recommended visit  ,"['honest', 'camera', 'amazing', 'really', 'amazing', 'recommended', 'visit']"
116,"To be honest, the camera is okay and works fine. <div>Customer review</div> Visit www.example.com...",neutral,to be honest the camera is okay and works fine customer review visit ,"['honest', 'camera', 'okay', 'works', 'fine', 'customer', 'review', 'visit']"
117,"To be honest, the laptop works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com??",positive,to be honest the lawton works grm and i lui it  recommended visit ,"['honest', 'lawton', 'works', 'grm', 'lui', 'recommended', 'visit']"
118,"Actually, this product is camera has terrible quality <div>very disappointing</div> More info: https://shop.example.com!!! 😍",negative,actually this product is camera has terrible quality very disappointing more into  ,"['actually', 'product', 'camera', 'terrible', 'quality', 'disappointing']"
119,I think it is really shirt has terrible quality <div>very disappointing</div> https://example.com 😡!!!,negative,i think it is really shirt has terrible quality very disappointing  ,"['think', 'really', 'shirt', 'terrible', 'quality', 'disappointing']"
120,"To be honest, the watch is decent for the price. <div>Customer review</div> Visit www.example.com!!!",neutral,to be honest the watch is decent for the price customer review visit ,"['honest', 'watch', 'decent', 'price', 'customer', 'review', 'visit']"
121,"To be honest, the camera works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com...",positive,to be honest the camera works grm and i lui it  recommended visit ,"['honest', 'camera', 'works', 'grm', 'lui', 'recommended', 'visit']"
122,In my opinion this is shirt is absolutly fantastic!!! <b>Good choice</b> 😡!!!,positive,in my opinion this is shirt is absolutely fantastic good choice ,"['opinion', 'shirt', 'absolutely', 'fantastic', 'good', 'choice']"
123,In my opinion this is phone works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com??,positive,in my opinion this is phone works grm and i lui it  recommended visit ,"['opinion', 'phone', 'works', 'grm', 'lui', 'recommended', 'visit']"
124,"Actually, this product is phone works as expected, but could be better. <div>Customer review</div>...",neutral,actually this product is phone works as expected but could be better customer review,"['actually', 'product', 'phone', 'works', 'expected', 'could', 'better', 'customer', 'review']"
125,In my opinion this is headphones was a horible purchase 😠 <div>Customer review</div> https://example.com...,negative,in my opinion this is headphones was a horrible purchase  customer review ,"['opinion', 'headphones', 'horrible', 'purchase', 'customer', 'review']"
126,"To be honest, the camera is average, nothing special. <b>Good choice</b> Visit www.example.com??",neutral,to be honest the camera is average nothing special good choice visit ,"['honest', 'camera', 'average', 'nothing', 'special', 'good', 'choice', 'visit']"
127,"In my opinion this is shoes is not bad, but not amazing either. <b>Good choice</b> https://example.com??",neutral,in my opinion this is shoes is not bad but not amazing either good choice ,"['opinion', 'shoes', 'bad', 'amazing', 'either', 'good', 'choice']"
128,I think it is really phone is awsome and works perfectly 👍??,positive,i think it is really phone is some and works perfectly ,"['think', 'really', 'phone', 'works', 'perfectly']"
129,"To be honest, the product is absolutly fantastic!!! <div>Customer review</div> https://example.com!!! 😍",positive,to be honest the product is absolutely fantastic customer review  ,"['honest', 'product', 'absolutely', 'fantastic', 'customer', 'review']"
130,"Well, I think the phone is average, nothing special. Visit www.example.com 😡!!!",neutral,well i think the phone is average nothing special visit  ,"['well', 'think', 'phone', 'average', 'nothing', 'special', 'visit']"
131,I think it is really watch works gr8 and I luv it 😊 More info: https://shop.example.com!!! 😍,positive,i think it is really watch works grm and i lui it  more into  ,"['think', 'really', 'watch', 'works', 'grm', 'lui']"
132,In my opinion this is watch was a horible purchase 😠 <div>Customer review</div> Visit www.example.com??,negative,in my opinion this is watch was a horrible purchase  customer review visit ,"['opinion', 'watch', 'horrible', 'purchase', 'customer', 'review', 'visit']"
133,"To be honest, the phone works gr8 and I luv it 😊 <div>Customer review</div> Visit www.example.com 😡!!!",positive,to be honest the phone works grm and i lui it  customer review visit  ,"['honest', 'phone', 'works', 'grm', 'lui', 'customer', 'review', 'visit']"
134,I think it is really service works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com.,positive,i think it is really service works grm and i lui it  recommended visit ,"['think', 'really', 'service', 'works', 'grm', 'lui', 'recommended', 'visit']"
135,In my opinion this is book works gr8 and I luv it 😊 <div>Customer review</div>.,positive,in my opinion this is book works grm and i lui it  customer review,"['opinion', 'book', 'works', 'grm', 'lui', 'customer', 'review']"
136,"Well, I think the headphones is okay and works fine. <span>Recommended</span> More info: https://shop.example.com??",neutral,well i think the headphones is okay and works fine recommended more into ,"['well', 'think', 'headphones', 'okay', 'works', 'fine', 'recommended']"
137,"In my opinion this is laptop is not bad, but not amazing either. <b>Good choice</b> https://example.com!!! 😍",neutral,in my opinion this is lawton is not bad but not amazing either good choice  ,"['opinion', 'lawton', 'bad', 'amazing', 'either', 'good', 'choice']"
138,I think it is really phone is broken and useless!!! More info: https://shop.example.com 😡!!!,negative,i think it is really phone is broken and useless more into  ,"['think', 'really', 'phone', 'broken', 'useless']"
139,"Well, I think the service is absolutly fantastic!!! https://example.com??",positive,well i think the service is absolutely fantastic ,"['well', 'think', 'service', 'absolutely', 'fantastic']"
140,"Actually, this product is camera is awsome and works perfectly 👍 <span>Recommended</span> https://example.com.",positive,actually this product is camera is some and works perfectly  recommended ,"['actually', 'product', 'camera', 'works', 'perfectly', 'recommended']"
141,"Well, I think the service has terrible quality <div>very disappointing</div> <div>Customer review</div> More info: https://shop.example.com.",negative,well i think the service has terrible quality very disappointing customer review more into ,"['well', 'think', 'service', 'terrible', 'quality', 'disappointing', 'customer', 'review']"
