id,review,sentiment
30,"Well, I think the watch is realy good!!! 😍 More info: https://shop.example.com!!! 😍",positive
31,"In my opinion this is watch is not bad, but not amazing either. <b>Good choice</b>...",neutral
32,I think it is really shoes is realy bad!!! 😡 More info: https://shop.example.com.,negative
33,"Well, I think the laptop works as expected, but could be better. More info: https://shop.example.com??",neutral
34,"Actually, this product is product is average, nothing special. 😡!!!",neutral
35,"To be honest, the shirt is awsome and works perfectly 👍 <span>Recommended</span> https://example.com...",positive
36,"To be honest, the watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> https://example.com!!! 😍",positive
37,"Well, I think the service works gr8 and I luv it 😊 More info: https://shop.example.com??",positive
38,"Actually, this product is watch has terrible quality <div>very disappointing</div> <span>Recommended</span> Visit www.example.com.",negative
39,"Well, I think the shoes was a horible purchase 😠 <b>Good choice</b> Visit www.example.com!!!",negative
40,In my opinion this is camera works gr8 and I luv it 😊 <b>Good choice</b> 😡!!!,positive
41,In my opinion this is watch is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> 😡!!!,positive
42,"Well, I think the watch is not bad, but not amazing either. <b>Good choice</b> More info: https://shop.example.com.",neutral
43,"Well, I think the headphones is realy good!!! 😍 <div>Customer review</div>...",positive
44,I think it is really camera was a horible purchase 😠 <div>Customer review</div> Visit www.example.com!!!,negative
45,"To be honest, the laptop is awsome and works perfectly 👍 <span>Recommended</span>!!! 😍",positive
46,I think it is really service is absolutly fantastic!!! More info: https://shop.example.com??,positive
47,"Actually, this product is shirt is realy bad!!! 😡 https://example.com!!!",negative
48,"To be honest, the shoes is broken and useless!!! <div>Customer review</div>??",negative
49,In my opinion this is product is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com!!!,positive
50,I think it is really shirt is realy bad!!! 😡 <span>Recommended</span> https://example.com!!!,negative
51,"Actually, this product is headphones is average, nothing special. <div>Customer review</div> More info: https://shop.example.com!!!",neutral
52,In my opinion this is book is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> More info: https://shop.example.com??,positive
53,In my opinion this is book is broken and useless!!! 😡!!!,negative
54,"Actually, this product is product is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!! 😍",positive
55,In my opinion this is service is realy bad!!! 😡 More info: https://shop.example.com 😡!!!,negative
56,"To be honest, the shoes is broken and useless!!! <span>Recommended</span> More info: https://shop.example.com??",negative
57,I think it is really book is realy good!!! 😍 <b>Good choice</b> More info: https://shop.example.com.,positive
58,"Actually, this product is phone is awsome and works perfectly 👍 Visit www.example.com!!! 😍",positive
59,In my opinion this is service is realy good!!! 😍 <span>Recommended</span> https://example.com!!!,positive
60,"Actually, this product is laptop works gr8 and I luv it 😊 https://example.com!!!",positive
61,I think it is really phone works gr8 and I luv it 😊 <b>Good choice</b> More info: https://shop.example.com!!! 😍,positive
62,"In my opinion this is laptop is average, nothing special. More info: https://shop.example.com.",neutral
63,"Well, I think the shoes is realy good!!! 😍 More info: https://shop.example.com??",positive
64,"To be honest, the service is okay and works fine. <b>Good choice</b> Visit www.example.com...",neutral
65,I think it is really watch is absolutly fantastic!!! <span>Recommended</span> 😡!!!,positive
66,"Actually, this product is product is awsome and works perfectly 👍 <span>Recommended</span> More info: https://shop.example.com...",positive
67,"Well, I think the book is realy bad!!! 😡 <b>Good choice</b> More info: https://shop.example.com!!!",negative
68,"To be honest, the shoes is awsome and works perfectly 👍 https://example.com.",positive
69,In my opinion this is shirt was a horible purchase 😠 <b>Good choice</b> Visit www.example.com??,negative
70,"Actually, this product is headphones is broken and useless!!! <div>Customer review</div>!!!",negative
71,In my opinion this is laptop is realy good!!! 😍 <span>Recommended</span> Visit www.example.com!!!,positive
72,I think it is really headphones is absolutly fantastic!!! <b>Good choice</b> https://example.com...,positive
73,"Well, I think the phone is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span>!!!",positive
74,"To be honest, the service was a horible purchase 😠 <b>Good choice</b> More info: https://shop.example.com...",negative
75,"Actually, this product is laptop works as expected, but could be better. <b>Good choice</b> https://example.com!!!",neutral
76,"Actually, this product is shoes is broken and useless!!! <div>Customer review</div> Visit www.example.com!!! 😍",negative
77,In my opinion this is product is awsome and works perfectly 👍 Visit www.example.com!!!,positive
78,"Actually, this product is phone is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com!!!",positive
79,"To be honest, the shirt is okay and works fine. <span>Recommended</span> https://example.com.",neutral
80,"Well, I think the headphones is awfull and stopped working 😭 <span>Recommended</span> https://example.com.",negative
81,In my opinion this is shirt is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div>!!!,positive
82,In my opinion this is product is awfull and stopped working 😭 <div>Customer review</div> https://example.com!!! 😍,negative
83,"Actually, this product is watch is awfull and stopped working 😭 More info: https://shop.example.com!!!",negative
84,"I think it is really camera is average, nothing special. <b>Good choice</b> More info: https://shop.example.com.",neutral
85,In my opinion this is book is realy good!!! 😍 <b>Good choice</b> https://example.com!!! 😍,positive
86,"To be honest, the shirt is decent for the price. <span>Recommended</span> Visit www.example.com.",neutral
87,I think it is really service is broken and useless!!! <b>Good choice</b> Visit www.example.com??,negative
88,"To be honest, the headphones is awfull and stopped working 😭 <span>Recommended</span>.",negative
89,In my opinion this is book works gr8 and I luv it 😊 <b>Good choice</b> https://example.com 😡!!!,positive
90,"To be honest, the watch is awfull and stopped working 😭 <b>Good choice</b>.",negative
91,"Actually, this product is product is absolutly fantastic!!! <span>Recommended</span> More info: https://shop.example.com!!! 😍",positive
92,"To be honest, the watch is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com??",positive
93,"To be honest, the service is realy good!!! 😍 More info: https://shop.example.com!!! 😍",positive
94,"To be honest, the service is realy bad!!! 😡 <div>Customer review</div>??",negative
95,"Actually, this product is book is realy bad!!! 😡 <div>Customer review</div>...",negative
96,"Actually, this product is headphones is absolutly fantastic!!! <span>Recommended</span>??",positive
97,"To be honest, the phone is realy good!!! 😍 <span>Recommended</span> https://example.com??",positive
98,"Actually, this product is phone is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com!!! 😍",positive
99,"Actually, this product is phone is realy bad!!! 😡 <span>Recommended</span> More info: https://shop.example.com.",negative
100,In my opinion this is service is broken and useless!!!!!! 😍,negative
101,"Actually, this product is service works gr8 and I luv it 😊 <span>Recommended</span>!!! 😍",positive
102,"Well, I think the shoes is realy good!!! 😍 <span>Recommended</span> Visit www.example.com.",positive
103,"Actually, this product is watch was a horible purchase 😠 <span>Recommended</span> Visit www.example.com!!!",negative
104,In my opinion this is camera works gr8 and I luv it 😊 https://example.com...,positive
105,"Well, I think the shoes is average, nothing special. <span>Recommended</span> https://example.com...",neutral
106,I think it is really book is realy good!!! 😍 <div>Customer review</div> https://example.com 😡!!!,positive
107,"Actually, this product is camera is broken and useless!!! <b>Good choice</b> Visit www.example.com??",negative
108,"Actually, this product is camera is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b>!!!",positive
109,I think it is really laptop works gr8 and I luv it 😊 <span>Recommended</span> https://example.com.,positive
110,In my opinion this is service is awsome and works perfectly 👍 <b>Good choice</b>.,positive
111,"Actually, this product is camera is broken and useless!!! <b>Good choice</b>!!!",negative
112,"To be honest, the shirt is amazing <b>really amazing</b>!!! ❤️ More info: https://shop.example.com...",positive
113,"To be honest, the phone is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> https://example.com!!! 😍",positive
114,I think it is really laptop is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> More info: https://shop.example.com.,positive
115,"To be honest, the camera is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com 😡!!!",positive
116,"To be honest, the camera is okay and works fine. <div>Customer review</div> Visit www.example.com...",neutral
117,"To be honest, the laptop works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com??",positive
118,"Actually, this product is camera has terrible quality <div>very disappointing</div> More info: https://shop.example.com!!! 😍",negative
119,I think it is really shirt has terrible quality <div>very disappointing</div> https://example.com 😡!!!,negative
120,"To be honest, the watch is decent for the price. <div>Customer review</div> Visit www.example.com!!!",neutral
121,"To be honest, the camera works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com...",positive
122,In my opinion this is shirt is absolutly fantastic!!! <b>Good choice</b> 😡!!!,positive
123,In my opinion this is phone works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com??,positive
124,"Actually, this product is phone works as expected, but could be better. <div>Customer review</div>...",neutral
125,In my opinion this is headphones was a horible purchase 😠 <div>Customer review</div> https://example.com...,negative
126,"To be honest, the camera is average, nothing special. <b>Good choice</b> Visit www.example.com??",neutral
127,"In my opinion this is shoes is not bad, but not amazing either. <b>Good choice</b> https://example.com??",neutral
128,I think it is really phone is awsome and works perfectly 👍??,positive
129,"To be honest, the product is absolutly fantastic!!! <div>Customer review</div> https://example.com!!! 😍",positive
130,"Well, I think the phone is average, nothing special. Visit www.example.com 😡!!!",neutral
131,I think it is really watch works gr8 and I luv it 😊 More info: https://shop.example.com!!! 😍,positive
132,In my opinion this is watch was a horible purchase 😠 <div>Customer review</div> Visit www.example.com??,negative
133,"To be honest, the phone works gr8 and I luv it 😊 <div>Customer review</div> Visit www.example.com 😡!!!",positive
134,I think it is really service works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com.,positive
135,In my opinion this is book works gr8 and I luv it 😊 <div>Customer review</div>.,positive
136,"Well, I think the headphones is okay and works fine. <span>Recommended</span> More info: https://shop.example.com??",neutral
137,"In my opinion this is laptop is not bad, but not amazing either. <b>Good choice</b> https://example.com!!! 😍",neutral
138,I think it is really phone is broken and useless!!! More info: https://shop.example.com 😡!!!,negative
139,"Well, I think the service is absolutly fantastic!!! https://example.com??",positive
140,"Actually, this product is camera is awsome and works perfectly 👍 <span>Recommended</span> https://example.com.",positive
141,"Well, I think the service has terrible quality <div>very disappointing</div> <div>Customer review</div> More info: https://shop.example.com.",negative
142,"To be honest, the service is absolutly fantastic!!! <b>Good choice</b> https://example.com.",positive
143,"Actually, this product is camera has terrible quality <div>very disappointing</div> Visit www.example.com??",negative
144,In my opinion this is camera is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div> Visit www.example.com.,positive
145,"Actually, this product is phone works as expected, but could be better. <span>Recommended</span> More info: https://shop.example.com!!! 😍",neutral
146,I think it is really laptop is broken and useless!!! Visit www.example.com.,negative
147,"To be honest, the shoes is awfull and stopped working 😭 More info: https://shop.example.com.",negative
148,"Well, I think the camera works gr8 and I luv it 😊 <b>Good choice</b> Visit www.example.com!!!",positive
149,In my opinion this is camera is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div> Visit www.example.com??,positive
150,"Well, I think the shirt is awfull and stopped working 😭 https://example.com!!! 😍",negative
151,"Well, I think the phone has terrible quality <div>very disappointing</div> <b>Good choice</b> Visit www.example.com.",negative
152,"I think it is really shoes works as expected, but could be better. <div>Customer review</div>...",neutral
153,"To be honest, the camera is decent for the price. <b>Good choice</b> https://example.com??",neutral
154,In my opinion this is service works gr8 and I luv it 😊 https://example.com 😡!!!,positive
155,"In my opinion this is laptop works as expected, but could be better. <div>Customer review</div> https://example.com.",neutral
156,"To be honest, the book is okay and works fine....",neutral
157,"Well, I think the shirt is awfull and stopped working 😭 <div>Customer review</div> Visit www.example.com??",negative
158,In my opinion this is headphones is absolutly fantastic!!! <span>Recommended</span>...,positive
159,"Well, I think the phone works gr8 and I luv it 😊 <div>Customer review</div> Visit www.example.com!!!",positive
160,"Well, I think the service is average, nothing special. https://example.com.",neutral
161,"To be honest, the watch works as expected, but could be better. <b>Good choice</b>.",neutral
162,"I think it is really phone works as expected, but could be better. <div>Customer review</div> More info: https://shop.example.com.",neutral
163,"To be honest, the headphones is broken and useless!!! <div>Customer review</div> More info: https://shop.example.com...",negative
164,"Well, I think the camera is not bad, but not amazing either. <span>Recommended</span> More info: https://shop.example.com??",neutral
165,I think it is really phone was a horible purchase 😠 <div>Customer review</div>.,negative
166,"Actually, this product is camera is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div> Visit www.example.com...",positive
167,In my opinion this is watch is awsome and works perfectly 👍 <div>Customer review</div> More info: https://shop.example.com??,positive
168,"To be honest, the shirt was a horible purchase 😠 Visit www.example.com!!!",negative
169,"To be honest, the laptop is absolutly fantastic!!! <div>Customer review</div> Visit www.example.com!!!",positive
170,"Well, I think the laptop works as expected, but could be better. 😡!!!",neutral
171,"To be honest, the headphones is okay and works fine. Visit www.example.com 😡!!!",neutral
172,In my opinion this is shoes has terrible quality <div>very disappointing</div> <b>Good choice</b> Visit www.example.com!!! 😍,negative
173,I think it is really product is broken and useless!!! https://example.com 😡!!!,negative
174,"Actually, this product is service is okay and works fine. <div>Customer review</div> https://example.com??",neutral
175,"Well, I think the laptop is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com!!! 😍",positive
176,"To be honest, the laptop is realy good!!! 😍 More info: https://shop.example.com 😡!!!",positive
177,"Actually, this product is camera is awsome and works perfectly 👍 <div>Customer review</div> https://example.com!!! 😍",positive
178,"Well, I think the service is realy good!!! 😍 <div>Customer review</div> 😡!!!",positive
179,In my opinion this is laptop was a horible purchase 😠 <div>Customer review</div> Visit www.example.com??,negative
180,"To be honest, the headphones is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> Visit www.example.com??",positive
181,"Well, I think the shoes is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> Visit www.example.com 😡!!!",positive
182,I think it is really headphones is okay and works fine. <b>Good choice</b>??,neutral
183,"Actually, this product is watch is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div>!!! 😍",positive
184,I think it is really service is realy good!!! 😍??,positive
185,I think it is really book was a horible purchase 😠 <div>Customer review</div> More info: https://shop.example.com.,negative
186,"To be honest, the phone is average, nothing special. <span>Recommended</span> More info: https://shop.example.com!!!",neutral
187,I think it is really service is decent for the price. <span>Recommended</span> https://example.com...,neutral
188,"Well, I think the service is broken and useless!!! <div>Customer review</div>.",negative
189,"To be honest, the watch is absolutly fantastic!!! <span>Recommended</span> More info: https://shop.example.com!!! 😍",positive
190,"Well, I think the phone was a horible purchase 😠 <div>Customer review</div> Visit www.example.com.",negative
191,I think it is really camera is realy bad!!! 😡 <div>Customer review</div>!!! 😍,negative
192,"Well, I think the shoes works gr8 and I luv it 😊 <span>Recommended</span> https://example.com.",positive
193,In my opinion this is phone is broken and useless!!!??,negative
194,I think it is really headphones is decent for the price. <div>Customer review</div> Visit www.example.com!!!,neutral
195,"Well, I think the shoes is absolutly fantastic!!! <div>Customer review</div> More info: https://shop.example.com.",positive
196,In my opinion this is watch is realy bad!!! 😡 <b>Good choice</b>...,negative
197,"Well, I think the laptop is realy bad!!! 😡 <span>Recommended</span>.",negative
198,I think it is really laptop is broken and useless!!! <div>Customer review</div> Visit www.example.com 😡!!!,negative
199,"In my opinion this is shoes works as expected, but could be better. <div>Customer review</div> More info: https://shop.example.com!!!",neutral
200,"Actually, this product is camera is awfull and stopped working 😭 <div>Customer review</div> https://example.com...",negative
201,In my opinion this is camera is realy bad!!! 😡 Visit www.example.com...,negative
202,In my opinion this is camera is realy good!!! 😍 <div>Customer review</div> https://example.com!!!,positive
203,"Actually, this product is watch is awsome and works perfectly 👍 <b>Good choice</b> Visit www.example.com!!! 😍",positive
204,"To be honest, the phone is okay and works fine. <b>Good choice</b> Visit www.example.com??",neutral
205,"To be honest, the book is not bad, but not amazing either. <b>Good choice</b> https://example.com!!!",neutral
206,"To be honest, the book works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com.",positive
207,I think it is really product is broken and useless!!! <span>Recommended</span> Visit www.example.com.,negative
208,"To be honest, the watch is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> Visit www.example.com??",positive
209,In my opinion this is camera is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b>??,positive
210,"To be honest, the camera works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com!!!",positive
211,"Actually, this product is shoes is not bad, but not amazing either. <b>Good choice</b> Visit www.example.com...",neutral
212,In my opinion this is headphones is realy bad!!! 😡!!!,negative
213,"Actually, this product is camera is not bad, but not amazing either. <div>Customer review</div> Visit www.example.com!!! 😍",neutral
214,"To be honest, the shirt is absolutly fantastic!!! <span>Recommended</span> https://example.com.",positive
215,In my opinion this is book is realy good!!! 😍 <div>Customer review</div> Visit www.example.com...,positive
216,"To be honest, the service is awfull and stopped working 😭 <b>Good choice</b> More info: https://shop.example.com 😡!!!",negative
217,I think it is really shoes is realy good!!! 😍.,positive
218,"To be honest, the headphones has terrible quality <div>very disappointing</div>!!! 😍",negative
219,I think it is really shirt is awsome and works perfectly 👍 <b>Good choice</b> More info: https://shop.example.com??,positive
220,I think it is really shirt is okay and works fine. <div>Customer review</div> https://example.com??,neutral
221,"To be honest, the headphones is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div> More info: https://shop.example.com 😡!!!",positive
222,"To be honest, the product works gr8 and I luv it 😊 <span>Recommended</span> More info: https://shop.example.com...",positive
223,"To be honest, the product is realy good!!! 😍 <span>Recommended</span> https://example.com...",positive
224,"In my opinion this is product is not bad, but not amazing either. https://example.com??",neutral
225,"To be honest, the shirt is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com 😡!!!",positive
226,"To be honest, the camera is awsome and works perfectly 👍 Visit www.example.com!!!",positive
227,"Actually, this product is watch is amazing <b>really amazing</b>!!! ❤️ https://example.com...",positive
228,In my opinion this is camera is realy good!!! 😍 <div>Customer review</div> More info: https://shop.example.com.,positive
229,"To be honest, the shoes is amazing <b>really amazing</b>!!! ❤️ <b>Good choice</b> https://example.com.",positive
230,In my opinion this is shoes was a horible purchase 😠 <span>Recommended</span> Visit www.example.com 😡!!!,negative
231,"Actually, this product is headphones is awfull and stopped working 😭 <div>Customer review</div> More info: https://shop.example.com.",negative
232,"Well, I think the shirt was a horible purchase 😠 <span>Recommended</span>!!! 😍",negative
233,"To be honest, the service is not bad, but not amazing either. Visit www.example.com 😡!!!",neutral
234,I think it is really headphones is decent for the price. <span>Recommended</span> https://example.com!!!,neutral
235,"Well, I think the phone works gr8 and I luv it 😊 <span>Recommended</span> https://example.com.",positive
236,"Well, I think the service is average, nothing special. https://example.com.",neutral
237,"Actually, this product is phone is realy bad!!! 😡 <div>Customer review</div> https://example.com??",negative
238,I think it is really product is awfull and stopped working 😭 <div>Customer review</div> https://example.com??,negative
239,In my opinion this is camera is absolutly fantastic!!! More info: https://shop.example.com??,positive
240,"Actually, this product is laptop is awsome and works perfectly 👍 <b>Good choice</b> More info: https://shop.example.com 😡!!!",positive
241,"I think it is really product is not bad, but not amazing either. <b>Good choice</b> More info: https://shop.example.com??",neutral
242,"To be honest, the shirt is broken and useless!!! https://example.com!!!",negative
243,I think it is really shirt is awsome and works perfectly 👍 <div>Customer review</div> Visit www.example.com 😡!!!,positive
244,"Well, I think the watch is okay and works fine. <b>Good choice</b>!!! 😍",neutral
245,"Actually, this product is headphones is decent for the price. <b>Good choice</b> Visit www.example.com!!! 😍",neutral
246,I think it is really watch is awfull and stopped working 😭 More info: https://shop.example.com 😡!!!,negative
247,"Well, I think the phone is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> https://example.com.",positive
248,I think it is really camera works gr8 and I luv it 😊 <span>Recommended</span> More info: https://shop.example.com...,positive
249,I think it is really book was a horible purchase 😠 <span>Recommended</span> https://example.com??,negative
250,"Actually, this product is book is broken and useless!!! <span>Recommended</span> More info: https://shop.example.com...",negative
251,"Actually, this product is laptop is not bad, but not amazing either. More info: https://shop.example.com.",neutral
252,"Well, I think the laptop is amazing <b>really amazing</b>!!! ❤️ <div>Customer review</div> https://example.com??",positive
253,"To be honest, the shirt has terrible quality <div>very disappointing</div> <b>Good choice</b>??",negative
254,I think it is really product has terrible quality <div>very disappointing</div> https://example.com...,negative
255,In my opinion this is shoes is absolutly fantastic!!! <div>Customer review</div> More info: https://shop.example.com.,positive
256,In my opinion this is watch is okay and works fine. <b>Good choice</b> More info: https://shop.example.com...,neutral
257,"To be honest, the watch is awfull and stopped working 😭...",negative
258,"I think it is really headphones is not bad, but not amazing either. <span>Recommended</span> Visit www.example.com!!! 😍",neutral
259,I think it is really service is realy good!!! 😍 <div>Customer review</div>!!!,positive
260,"In my opinion this is shirt is average, nothing special. <b>Good choice</b> More info: https://shop.example.com!!! 😍",neutral
261,I think it is really book is realy good!!! 😍 <div>Customer review</div> Visit www.example.com...,positive
262,"Well, I think the shoes was a horible purchase 😠 <span>Recommended</span> More info: https://shop.example.com!!! 😍",negative
263,"To be honest, the service has terrible quality <div>very disappointing</div> <b>Good choice</b>...",negative
264,"Actually, this product is phone is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> More info: https://shop.example.com!!! 😍",positive
265,In my opinion this is watch is awsome and works perfectly 👍 <span>Recommended</span> More info: https://shop.example.com??,positive
266,"Actually, this product is book is decent for the price. <span>Recommended</span> More info: https://shop.example.com...",neutral
267,"In my opinion this is product is not bad, but not amazing either. <span>Recommended</span> https://example.com??",neutral
268,I think it is really phone is decent for the price. <b>Good choice</b> https://example.com??,neutral
269,In my opinion this is service works gr8 and I luv it 😊 <div>Customer review</div> https://example.com!!!,positive
270,In my opinion this is phone was a horible purchase 😠 <b>Good choice</b>.,negative
271,In my opinion this is camera was a horible purchase 😠 <div>Customer review</div> https://example.com!!!,negative
272,In my opinion this is service has terrible quality <div>very disappointing</div>...,negative
273,I think it is really product is realy good!!! 😍 <span>Recommended</span>...,positive
274,"To be honest, the book works gr8 and I luv it 😊 <span>Recommended</span>.",positive
275,In my opinion this is camera is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> More info: https://shop.example.com??,positive
276,In my opinion this is camera is realy good!!! 😍 <b>Good choice</b>.,positive
277,In my opinion this is shirt was a horible purchase 😠 More info: https://shop.example.com.,negative
278,"To be honest, the shoes is broken and useless!!! <span>Recommended</span> More info: https://shop.example.com.",negative
279,"Well, I think the book was a horible purchase 😠 <span>Recommended</span> More info: https://shop.example.com.",negative
280,"To be honest, the phone is awsome and works perfectly 👍 <b>Good choice</b> Visit www.example.com.",positive
281,"To be honest, the camera is okay and works fine. <span>Recommended</span> https://example.com...",neutral
282,I think it is really headphones is absolutly fantastic!!! <div>Customer review</div> More info: https://shop.example.com...,positive
283,I think it is really book is amazing <b>really amazing</b>!!! ❤️ <span>Recommended</span> Visit www.example.com!!! 😍,positive
284,"To be honest, the shirt is realy bad!!! 😡 <b>Good choice</b> More info: https://shop.example.com??",negative
285,In my opinion this is headphones was a horible purchase 😠 https://example.com.,negative
286,I think it is really camera is realy good!!! 😍 <span>Recommended</span>.,positive
287,"To be honest, the laptop works gr8 and I luv it 😊 <span>Recommended</span> Visit www.example.com...",positive
288,"To be honest, the shirt is amazing <b>really amazing</b>!!! ❤️ Visit www.example.com...",positive
289,"Well, I think the book is realy bad!!! 😡 <span>Recommended</span> More info: https://shop.example.com 😡!!!",negative
290,In my opinion this is shoes has terrible quality <div>very disappointing</div> <b>Good choice</b> Visit www.example.com!!! 😍,negative
291,In my opinion this is product has terrible quality <div>very disappointing</div> https://example.com!!! 😍,negative
292,"Actually, this product is shirt is awsome and works perfectly 👍 <b>Good choice</b> https://example.com??",positive
293,"Well, I think the shirt works as expected, but could be better. <b>Good choice</b> Visit www.example.com!!! 😍",neutral
294,"To be honest, the camera is decent for the price. <div>Customer review</div>.",neutral
295,I think it is really shirt works gr8 and I luv it 😊 More info: https://shop.example.com??,positive
296,"To be honest, the camera works gr8 and I luv it 😊 More info: https://shop.example.com!!!",positive
297,"To be honest, the headphones was a horible purchase 😠 https://example.com...",negative
298,"Well, I think the product is absolutly fantastic!!! <b>Good choice</b> https://example.com.",positive
299,In my opinion this is laptop has terrible quality <div>very disappointing</div> <b>Good choice</b> Visit www.example.com 😡!!!,negative
300,In my opinion this is camera is okay and works fine. <b>Good choice</b>...,neutral
301,"Well, I think the camera is okay and works fine. <div>Customer review</div> https://example.com!!!",neutral
302,"Well, I think the phone is realy good!!! 😍 <b>Good choice</b> More info: https://shop.example.com!!!",positive
303,"Well, I think the camera is realy good!!! 😍 <b>Good choice</b> https://example.com??",positive
304,"Actually, this product is camera has terrible quality <div>very disappointing</div> Visit www.example.com!!!",negative
305,"To be honest, the laptop is awsome and works perfectly 👍 <span>Recommended</span> https://example.com??",positive
306,"Actually, this product is shirt is realy bad!!! 😡 Visit www.example.com!!! 😍",negative
307,"To be honest, the shoes works gr8 and I luv it 😊 <div>Customer review</div>??",positive
308,"Actually, this product is shoes has terrible quality <div>very disappointing</div> <span>Recommended</span> https://example.com!!! 😍",negative
309,"Well, I think the headphones is not bad, but not amazing either. Visit www.example.com??",neutral
310,I think it is really phone works gr8 and I luv it 😊 <div>Customer review</div> Visit www.example.com!!! 😍,positive
311,"Actually, this product is shoes is awsome and works perfectly 👍 <span>Recommended</span>...",positive
312,"Well, I think the camera works gr8 and I luv it 😊 <b>Good choice</b> More info: https://shop.example.com 😡!!!",positive
313,"To be honest, the laptop is okay and works fine. <div>Customer review</div> https://example.com 😡!!!",neutral
314,"In my opinion this is shirt is average, nothing special. <b>Good choice</b>!!!",neutral
